text,
Barang ok...dan sesuai mantap banget semoga awet.,isi ini ya ges (positive/neutral/negative)
"barang bagus, packing rapih, pengiriman cepat, terima kasih.",isi ini ya ges (positive/neutral/negative)
"Barang nya bagus... walaupun isinya gak 32.. cma 29,7.. tapi berfungsi sangat baik",isi ini ya ges (positive/neutral/negative)
"mantabs, thx",isi ini ya ges (positive/neutral/negative)
"mantap, good pokok nya",isi ini ya ges (positive/neutral/negative)
"good, cuman rada lama pengirimanya",isi ini ya ges (positive/neutral/negative)
Dear.Lazada Barangnya Udah Saya Terima.Packing Ok.Barang Ok.Terimakasih Lazada Dan Penjuanya.,isi ini ya ges (positive/neutral/negative)
kualitas sesuai deskripsi..,isi ini ya ges (positive/neutral/negative)
Mantul... Barang sesuai pesanan dan berfungsi dengan baik,isi ini ya ges (positive/neutral/negative)
harga termurah,isi ini ya ges (positive/neutral/negative)
barangnya bagus... mantap,isi ini ya ges (positive/neutral/negative)
arang bagus sesuai iklannya dan respon serta pengiriman sangat cepat..thx,isi ini ya ges (positive/neutral/negative)
"packing rapi,thx seller dan lazzada",isi ini ya ges (positive/neutral/negative)
"sudah diterima dalam kondisi baik, kecepatan kiriman standart... makasih",isi ini ya ges (positive/neutral/negative)
"Barang ori, cpt samapai, moga awet",isi ini ya ges (positive/neutral/negative)
mantap betul,isi ini ya ges (positive/neutral/negative)
Mntaps min,isi ini ya ges (positive/neutral/negative)
sip,isi ini ya ges (positive/neutral/negative)
mantul..,isi ini ya ges (positive/neutral/negative)
bagusss,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
bagus,isi ini ya ges (positive/neutral/negative)
❤❤❤,isi ini ya ges (positive/neutral/negative)
keren,isi ini ya ges (positive/neutral/negative)
keren,isi ini ya ges (positive/neutral/negative)
sesuai,isi ini ya ges (positive/neutral/negative)
good,isi ini ya ges (positive/neutral/negative)
mantaaaap.,isi ini ya ges (positive/neutral/negative)
Lama b,isi ini ya ges (positive/neutral/negative)
ori,isi ini ya ges (positive/neutral/negative)
👍👍👍,isi ini ya ges (positive/neutral/negative)
bagus,isi ini ya ges (positive/neutral/negative)
ok brg original,isi ini ya ges (positive/neutral/negative)
murah bagus berkualitas Mantul...,isi ini ya ges (positive/neutral/negative)
"mantap, murah, berfungsi dengan baik",isi ini ya ges (positive/neutral/negative)
Sangat bagus original,isi ini ya ges (positive/neutral/negative)
bagus,isi ini ya ges (positive/neutral/negative)
"Barang sudah saya terima,, barangnya bagus sesuai deskripsi dan saya suka. terimakasih",isi ini ya ges (positive/neutral/negative)
barang sudah sampai...semoga awet...😊 thank lazada n seller,isi ini ya ges (positive/neutral/negative)
"sangat cepat, terima kasih",isi ini ya ges (positive/neutral/negative)
"mantap sesuai gambar, terima kasih lazada&seller",isi ini ya ges (positive/neutral/negative)
Recommended..,isi ini ya ges (positive/neutral/negative)
barang normal bagus semoga amet thanks lazada,isi ini ya ges (positive/neutral/negative)
produk original makasih,isi ini ya ges (positive/neutral/negative)
paket sudah diterima..respon dan pengiriman cepat.. trimss,isi ini ya ges (positive/neutral/negative)
barang sesuai pesanan. mantap. berfungsi normal,isi ini ya ges (positive/neutral/negative)
Mantul Transfer Media File Besar Cepat Selesai,isi ini ya ges (positive/neutral/negative)
"mantappp, cuman 1 hari sampe",isi ini ya ges (positive/neutral/negative)
pembelian k 2xnya mantap,isi ini ya ges (positive/neutral/negative)
"barang Top, Original, Harga Mantap, kualitas joss, packaging good, pengiriman amazing... Thank You😇",isi ini ya ges (positive/neutral/negative)
kerrreeeeeen,isi ini ya ges (positive/neutral/negative)
"Barang original, pengiriman cepat,",isi ini ya ges (positive/neutral/negative)
"mantap, brng ori, pengiriman cepat, harga bersahabat Good Job..  Thanks.. Lazada & SanDisk",isi ini ya ges (positive/neutral/negative)
"barang sesuai pesanan, packing rapi, real capacity 28,6 ya wajar lah.. tp pengiriman agak lama mungkin rada overload",isi ini ya ges (positive/neutral/negative)
kudu di format dulu jadi ntfs biar masuk file gede,isi ini ya ges (positive/neutral/negative)
"Barang sudah diterima dan bekerja dengan baik, packing rapi, sesuai dengan harapan, pengiriman juga cepat, tapi kurirnya kurang ramah, barang ngak di antar sampai alamat, cuman di titip sampai agen, but overall good... 👍",isi ini ya ges (positive/neutral/negative)
"barangnya kaya aspal, tapi bismillah aja semoga awet",isi ini ya ges (positive/neutral/negative)
"barang ori, pengiriman tepat waktu",isi ini ya ges (positive/neutral/negative)
"pengirimannya cepat👍👍, Mantap ga kecewalah. Yang jelasnya ori",isi ini ya ges (positive/neutral/negative)
"Orderan sesuai, trims",isi ini ya ges (positive/neutral/negative)
"pengiriman cepat, packing rapi... sesuai deskripsi.",isi ini ya ges (positive/neutral/negative)
Bagus,isi ini ya ges (positive/neutral/negative)
"barang sesuai dengan gambar, packing rapi,pengiriman cepat,pokoknya mantap",isi ini ya ges (positive/neutral/negative)
pengiriman sesuai dengan pesanan dan pastinya original. memuaskan,isi ini ya ges (positive/neutral/negative)
Barang Original Mantap Jiwa,isi ini ya ges (positive/neutral/negative)
"barang original. bagus. pengiriman juga cepat, sabtu pesan, senin siang sampai",isi ini ya ges (positive/neutral/negative)
terima kasih,isi ini ya ges (positive/neutral/negative)
"barang bagus, pengiriman cepat",isi ini ya ges (positive/neutral/negative)
"Original, recomended bangets🤗",isi ini ya ges (positive/neutral/negative)
Joss lah,isi ini ya ges (positive/neutral/negative)
cepat banget sampainya 2 hari. barang bagus,isi ini ya ges (positive/neutral/negative)
Nice!,isi ini ya ges (positive/neutral/negative)
Bagus Ori,isi ini ya ges (positive/neutral/negative)
pengiriman cepat. sayang kurirnya gak nganter sampai rumah. flashdisk berfungsi dengan baik. storage gak sampe 16gb.,isi ini ya ges (positive/neutral/negative)
Maaf baru di ulas trimakasih atas pengirim dan toko sandiks sukses terus untuk lazada dan toko sandiks mantap jiwa,isi ini ya ges (positive/neutral/negative)
"beli hark jumat, hari minggu sampai , ahhh super cepat, sukses lazada dan sandisk official, tahu gini dari duli belanja di lazadaa 😍😍",isi ini ya ges (positive/neutral/negative)
Barang datangnya cepet bgt... ori.. packaging rapih.. kurir baik bgt sampe telpon WA tp g keangkat krn lg tidur.,isi ini ya ges (positive/neutral/negative)
"mantap coy, lagi gue test pake tape asli cepet padahal free ongkir lho lex emang loe kerennya asli bukan kw apalagi wkwkwkwk . . . . . .  .",isi ini ya ges (positive/neutral/negative)
"bagus,  sesuai pesanan aku udh 3× beli ngga pernah nyesel klo mau belik recommended lah",isi ini ya ges (positive/neutral/negative)
Barang sudah sampai dan packingnya rapi,isi ini ya ges (positive/neutral/negative)
Sampai dengan cepat dan bisa digunakan dengan baik.,isi ini ya ges (positive/neutral/negative)
selalu puas..,isi ini ya ges (positive/neutral/negative)
Mantap beli terus,isi ini ya ges (positive/neutral/negative)
Diterima dlm kondisi baik,isi ini ya ges (positive/neutral/negative)
ori dan murah,isi ini ya ges (positive/neutral/negative)
ori dan murah,isi ini ya ges (positive/neutral/negative)
barang bagus sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
real pict n sesuai pesanan 😁 Sukses selalu gan .😊,isi ini ya ges (positive/neutral/negative)
Barang telah diterima dengan Baik. Pengiriman cepat dan responsif,isi ini ya ges (positive/neutral/negative)
ok mantap,isi ini ya ges (positive/neutral/negative)
"Barang sudah d dapatkan, cepat dan juga packing rapi disertai dengan petunjuk pengembalian barang. Terimakasih Lazada dan seller dan juga kurrir.",isi ini ya ges (positive/neutral/negative)
produk asli dari SanDisk. Desain sticker hologramnya keren. Jadi saya tempel aja di Flash Disknya. Untuk kualitas SanDisk gak perlu diragukan lagi kualitasnya.,isi ini ya ges (positive/neutral/negative)
"Pengiriman sesuai dgn estimasi, biarkan rating yg berbicara. Recommended!",isi ini ya ges (positive/neutral/negative)
barang cepet sampai tapi kenapa setelah di buka ko ada file pdf nya ya 2016 lagi,isi ini ya ges (positive/neutral/negative)
"saya senang, barang dtg sesuai pesanan 16 gb dan 32 gb. pengiriman cepat, dan rapi. mudah2n bisa dipakai sesuai kapasitasnya.",isi ini ya ges (positive/neutral/negative)
Barang ori packing rapi kurirnya ramah 2 hari sudah sampai. Sudah dicoba berfungsi dengan baik. Thanks lazada and seller.,isi ini ya ges (positive/neutral/negative)
bagus banget klo mau belik recommended banget deh terimakasih lazada,isi ini ya ges (positive/neutral/negative)
"Barang sesuai, original, respon cpt, packing rapi.",isi ini ya ges (positive/neutral/negative)
sory baru ngasih ulasan. udah nyampe 3 hari lalu. packing sip. kurir pasti ramah. seller past respon top. ni barang recomend bagusss imut mungil. aku suka. kpn yg warna biru diskon? 😉,isi ini ya ges (positive/neutral/negative)
Barang bagus dan berfungsi dengan baik. Tx,isi ini ya ges (positive/neutral/negative)
"kualitas bagus banget, pengirimnya super pelayanannya.",isi ini ya ges (positive/neutral/negative)
barang sudah diterima. sesuai gambar. tp blom di test.,isi ini ya ges (positive/neutral/negative)
Barang bagus tp kecil bingggiiiit....,isi ini ya ges (positive/neutral/negative)
"Sesuai pesanan, ORI, simpel, semoga awet.",isi ini ya ges (positive/neutral/negative)
Flashdisknya oke,isi ini ya ges (positive/neutral/negative)
"Barang bagus, sesuai, ada software SanDisknya juga. Keren dah",isi ini ya ges (positive/neutral/negative)
"produk bagus dan berkualitas,. terima kasih ...",isi ini ya ges (positive/neutral/negative)
"barang ori mantap, berfungsi, no cacat good product",isi ini ya ges (positive/neutral/negative)
Kemarin pesen hari ini langsung dateng😁,isi ini ya ges (positive/neutral/negative)
Sejauh ini berfungsi dengan baik,isi ini ya ges (positive/neutral/negative)
"Baeang bagus dan original. Namun, pemrosesan paket sedikit agak lama dari biasanya. Mungkin itu dari pihak Lazadanya. Tapi, untuk Sandisk Official Store ini sangatlah Recommended dan terpercaya",isi ini ya ges (positive/neutral/negative)
belum dicoba sih. Tapi bagus packing baik,isi ini ya ges (positive/neutral/negative)
Flashdisk'y ori.. pengiriman LEX selalu cepat... diluar dugaan..,isi ini ya ges (positive/neutral/negative)
"pokok nya baguslah. 3hari nyampe, mndarat dngn mulus. packing rapih kurirnya pun ramah. recomended! thx Lazada, thx Seller",isi ini ya ges (positive/neutral/negative)
"mantap, pengiriman cepat, berjalan sesuai expektasi",isi ini ya ges (positive/neutral/negative)
"mantab, terimakasih lazada",isi ini ya ges (positive/neutral/negative)
bagus puas,isi ini ya ges (positive/neutral/negative)
"Alhamdulillah paketnya sudah diterima , semoga produknya bisa berfungsi dengan baik..",isi ini ya ges (positive/neutral/negative)
"barang mantap, dan harganya murah, semoga awet. pengemasan rapi dan bagus",isi ini ya ges (positive/neutral/negative)
sempurna plasdisck nya lancar untuk d pakai,isi ini ya ges (positive/neutral/negative)
KERENLAH LANCAR JAYA SAMPAI SEKARANG,isi ini ya ges (positive/neutral/negative)
"Produk berfungsi dengan baik, berkualitas, tanpa cacat, packing rapi, pengiriman cepat & recomended seller",isi ini ya ges (positive/neutral/negative)
like,isi ini ya ges (positive/neutral/negative)
Mantap produknya bagus sesui ..,isi ini ya ges (positive/neutral/negative)
"sesuai pesanan 3 pcs,,, terima kasih sandisk os and lazada",isi ini ya ges (positive/neutral/negative)
Mantap barang oke,isi ini ya ges (positive/neutral/negative)
murah dan ori... meski barangnya agak lama nyampenya,isi ini ya ges (positive/neutral/negative)
barang bagus dan di segel rapih..,isi ini ya ges (positive/neutral/negative)
"Sudah dicoba, bagus, tapi kapasitasnya cuma 14 GB lebih. Pengirimannya lamaaaaaaaaaaaaaaaaaa...",isi ini ya ges (positive/neutral/negative)
"brg udah sampai,sabtu order senin sampai,,,tp blum dicoba,smoga bagus dan awet,,,",isi ini ya ges (positive/neutral/negative)
"Barang bagus berkualitas., packing kardus okelah..",isi ini ya ges (positive/neutral/negative)
"Order kesekian kalinya belum pernah kecewa, paking baik, cepat sampai, good seller. thx lazadaaaaaa",isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
lumayanlah,isi ini ya ges (positive/neutral/negative)
bagus,isi ini ya ges (positive/neutral/negative)
packing rapi moga awet,isi ini ya ges (positive/neutral/negative)
"Bagus,  langsung di manfaatkan!!!",isi ini ya ges (positive/neutral/negative)
barang ok pokoknya recommended,isi ini ya ges (positive/neutral/negative)
sampai dengan selamat.,isi ini ya ges (positive/neutral/negative)
"ok, barangnya baik. cuma pengirimannya yg lama",isi ini ya ges (positive/neutral/negative)
"kondisi utuh, packing rapi, tersedia 14,9 GB, lumayan lah",isi ini ya ges (positive/neutral/negative)
"barang nya bagus banget, sorry ga sempet gambar,",isi ini ya ges (positive/neutral/negative)
"thanks barang udh nyampe sesuai pesanan, mantap pokonya, sukses bro",isi ini ya ges (positive/neutral/negative)
wort it coba untuk beli dgn hrga segitu,isi ini ya ges (positive/neutral/negative)
"barang original,packing bagus, pengiriman cepat,thanx",isi ini ya ges (positive/neutral/negative)
Bahan bagus dan keren,isi ini ya ges (positive/neutral/negative)
"original, mantab",isi ini ya ges (positive/neutral/negative)
"ga bisa dipake, dan ga kebaca juga dikomputer mana aja",isi ini ya ges (positive/neutral/negative)
Produk original,isi ini ya ges (positive/neutral/negative)
mantap brgnya sesuai dengan perkiraan,isi ini ya ges (positive/neutral/negative)
perfect,isi ini ya ges (positive/neutral/negative)
"barang oke, bisa digunakan makasih ya lazada",isi ini ya ges (positive/neutral/negative)
nyampe barangnya bagus dan berfungsi dengan baik. FD nya di segel jadi udah pasti asli.. thx,isi ini ya ges (positive/neutral/negative)
mantap.. original harga murmer,isi ini ya ges (positive/neutral/negative)
"real pict,barang berfungsi dengan baik👍",isi ini ya ges (positive/neutral/negative)
"Pengiriman lamanya standar, dibungkus rapi, penyimpanan 16gb full",isi ini ya ges (positive/neutral/negative)
"mantaps,lgsg d isi mp 4",isi ini ya ges (positive/neutral/negative)
"mantappp, sesuai deskripsi",isi ini ya ges (positive/neutral/negative)
"order 2 sudah diterima, udah sering order di official store ini, sukses ya",isi ini ya ges (positive/neutral/negative)
"barang smpe dgn sbungkus rapi, barang mantap ori",isi ini ya ges (positive/neutral/negative)
sesuai pesanan,isi ini ya ges (positive/neutral/negative)
Barang nya original seperti flashdisk pada umumnya. Pengiriman nya sesuai estimasi,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!! LUAR BIASA BAGUS !!!,isi ini ya ges (positive/neutral/negative)
mantull pengiriman cepett  bangett.. ramah jg,isi ini ya ges (positive/neutral/negative)
"dapat barang ori dg harga kw, mantrap !!",isi ini ya ges (positive/neutral/negative)
bagus dan original,isi ini ya ges (positive/neutral/negative)
Barang Ori dan Pengiriman Cepat,isi ini ya ges (positive/neutral/negative)
"Packing rapi,, pengiriman cepet... Best dah",isi ini ya ges (positive/neutral/negative)
"brg ori, ga ada masalah setelah dicoba...thx",isi ini ya ges (positive/neutral/negative)
gooodddddd..............,isi ini ya ges (positive/neutral/negative)
barang sesuai,isi ini ya ges (positive/neutral/negative)
"Bagus, diterima dgn baik",isi ini ya ges (positive/neutral/negative)
thx lazada ... barang nya ori,isi ini ya ges (positive/neutral/negative)
"pengiriman cepat, flashdisk berfungsi dg baik... thanks",isi ini ya ges (positive/neutral/negative)
mantap pokonya barang bagus bgt,isi ini ya ges (positive/neutral/negative)
"pengiriman cepat, barang sesuai.",isi ini ya ges (positive/neutral/negative)
"kalo kualitas barang sdah tidak di ragukan lagi, packing rapi, pengiriman jg sangat cepat...",isi ini ya ges (positive/neutral/negative)
Cepat sampe and barang tdk Ada masalah. Thank you ya!!!,isi ini ya ges (positive/neutral/negative)
flashdisknya sudah d terima dan wow sesuai dengan yg diharapkan.. melebihi malah..,isi ini ya ges (positive/neutral/negative)
pengirman cepat,isi ini ya ges (positive/neutral/negative)
"mantab barang bagus, harga bagus",isi ini ya ges (positive/neutral/negative)
"barang oke, packing sangat rapi.. maka  bintang berbicara..",isi ini ya ges (positive/neutral/negative)
barang bagus,isi ini ya ges (positive/neutral/negative)
puasss dengan barang dan pelayanan kurir,isi ini ya ges (positive/neutral/negative)
Baranggggg Bagus!!!!!!!!!!,isi ini ya ges (positive/neutral/negative)
mantap benar sesuai dengan deskrepsi singkat barang,isi ini ya ges (positive/neutral/negative)
pengirman cepat dan packing rapih terimakash,isi ini ya ges (positive/neutral/negative)
kualitas produk sangat baik,isi ini ya ges (positive/neutral/negative)
Tidak mengecewakan,isi ini ya ges (positive/neutral/negative)
"barang diterima dengan kondisi baik, dan memuaskan. terimakasih",isi ini ya ges (positive/neutral/negative)
"barangnya ori, imut2 ukurannya thx lazada",isi ini ya ges (positive/neutral/negative)
mantap .. harga murah pula,isi ini ya ges (positive/neutral/negative)
"barang sesuai gambar, kapasitasnya juga",isi ini ya ges (positive/neutral/negative)
"mantap sesuai gambar, terima kasih lazada&seller",isi ini ya ges (positive/neutral/negative)
Mantap... tidak mengecewakan. barang bagus,isi ini ya ges (positive/neutral/negative)
mantab ok banget.....,isi ini ya ges (positive/neutral/negative)
"Produk Asli dan Bagus, I Like So Much",isi ini ya ges (positive/neutral/negative)
berfungsi dgn baik. mntap,isi ini ya ges (positive/neutral/negative)
"Ternyata mungil buangettt... thank lazada..kurir ramah, nyampe dg selamat. Moga awet..",isi ini ya ges (positive/neutral/negative)
"barang sudah diterima,  cepat sampainya,  tapi blm dicoba mudah2an bagus semua",isi ini ya ges (positive/neutral/negative)
"sesuai pesanan, good, thanks lazada.",isi ini ya ges (positive/neutral/negative)
alhamdulillah sampe juga....,isi ini ya ges (positive/neutral/negative)
"pengiriman lama, kayak produk dari luar.. tapi nyampe selamat sih barang aman walau belum test",isi ini ya ges (positive/neutral/negative)
😊mdh2n bagus sandisknya,isi ini ya ges (positive/neutral/negative)
Barang sampai dengan selamat,isi ini ya ges (positive/neutral/negative)
"rekomen nih, yg nyari flashdisk. packing jg aman",isi ini ya ges (positive/neutral/negative)
"belum dicoba, semoga berfungsi dengan baik dan awet.",isi ini ya ges (positive/neutral/negative)
"Barang bagus, original, packing rapi. Waktu pengiriman baik. Recommended Seller....",isi ini ya ges (positive/neutral/negative)
Mantap !!,isi ini ya ges (positive/neutral/negative)
mantab semoga awet,isi ini ya ges (positive/neutral/negative)
"barang sesuai, pengiriman cepat.",isi ini ya ges (positive/neutral/negative)
"barang sesuai, pengiriman cepat.",isi ini ya ges (positive/neutral/negative)
"Pengiriman oke tepat waktu,",isi ini ya ges (positive/neutral/negative)
kualitas jempolan 👍👍👍,isi ini ya ges (positive/neutral/negative)
Original bro,isi ini ya ges (positive/neutral/negative)
thanks,isi ini ya ges (positive/neutral/negative)
mantapppp,isi ini ya ges (positive/neutral/negative)
mantap!!!,isi ini ya ges (positive/neutral/negative)
mantap gan,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
MANTAP !!!,isi ini ya ges (positive/neutral/negative)
Baguus,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
ok,isi ini ya ges (positive/neutral/negative)
TOP,isi ini ya ges (positive/neutral/negative)
mantab,isi ini ya ges (positive/neutral/negative)
Mantap,isi ini ya ges (positive/neutral/negative)
mantaaap,isi ini ya ges (positive/neutral/negative)
Jayyid,isi ini ya ges (positive/neutral/negative)
mantab,isi ini ya ges (positive/neutral/negative)
barang ok,isi ini ya ges (positive/neutral/negative)
👍👍,isi ini ya ges (positive/neutral/negative)
mantap,isi ini ya ges (positive/neutral/negative)
Good,isi ini ya ges (positive/neutral/negative)
"Sesuai di aplikasi , kualitas bagus Original tentunya , pengiriman tepat waktu Wort it lah pokoknya , thank SanDisk Official store",isi ini ya ges (positive/neutral/negative)
"Yass akhirnya sampe. Produk lumayan juga 2 hari dh sampe. Produk ori dan resmi, good :) 🙏",isi ini ya ges (positive/neutral/negative)
"packing baik, barang sesuai dengan gambar, original.",isi ini ya ges (positive/neutral/negative)
Bagus,isi ini ya ges (positive/neutral/negative)
Berfungsi dengan baik,isi ini ya ges (positive/neutral/negative)
bagus semoga barang ori dan awet... sukses terus buat ke depan...,isi ini ya ges (positive/neutral/negative)
mantap barang ori...packaging rapih,isi ini ya ges (positive/neutral/negative)
bagus barang nya..,isi ini ya ges (positive/neutral/negative)
pake 1x langsung rusak ..,isi ini ya ges (positive/neutral/negative)
Barang ori dg kualitas bagus,isi ini ya ges (positive/neutral/negative)
barang bagus .. puas,isi ini ya ges (positive/neutral/negative)
Mantap bagusss,isi ini ya ges (positive/neutral/negative)
"Cepat membaca, Cepat Mencopy. Original",isi ini ya ges (positive/neutral/negative)
"Cepat membaca, Cepat Mencopy Original",isi ini ya ges (positive/neutral/negative)
flash disknya okee,isi ini ya ges (positive/neutral/negative)
nice quality,isi ini ya ges (positive/neutral/negative)
"Ok, sesuai harapan",isi ini ya ges (positive/neutral/negative)
"Original product dan berfungsi dengan baik, bentuknya bagus futuristik, sesuai harapan.",isi ini ya ges (positive/neutral/negative)
"Barang bagus, sesuai dengan deskripsi",isi ini ya ges (positive/neutral/negative)
packing baik barang sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
sangat kecil tapi..............bagus 👍👍👍 kecepatan transfer data nya juga lumayan,isi ini ya ges (positive/neutral/negative)
Bagus banget walau beda dari gambar yg terlihat agak besar dari sebenarnya tapi sangat memuasakan,isi ini ya ges (positive/neutral/negative)
good stuff,isi ini ya ges (positive/neutral/negative)
👍👍,isi ini ya ges (positive/neutral/negative)
"Barang sudah nyampe & dah dicoba tp cuma 58,7 GB mungkin sisanya untuk sistem. Thx Lazada & Sandisk Official Store. Recomended lah pokoke.",isi ini ya ges (positive/neutral/negative)
barang oke work 58.7gb  pengiriman aja lama 1 Minggu,isi ini ya ges (positive/neutral/negative)
Barangnya Original dan sesuai Iklan uda ada tes dan kebaca semua file2 berat terutama Video ukuran besar 👍😍😍,isi ini ya ges (positive/neutral/negative)
sesuai,isi ini ya ges (positive/neutral/negative)
"Barang sesuai deskripsi, sdh di isi file sd 34gb tidak ada masalah. rekomended.",isi ini ya ges (positive/neutral/negative)
"Paket telah diterima, packaging bagus, pengiriman cepat, tetapi belum dicoba.Thanks Lazada.Tetapi kapasitasnya nggak full 64 GB, mungkin terpakai untuk FAT dll ya.",isi ini ya ges (positive/neutral/negative)
"Awalnya sih flashdisnya bagus-bagus aja, kenapa sekarang minta format ya??? dibandingan dgn flashdisk yg lain ada perbedaan di tulisannya yg 64gb warna bacaan sandisknya kurang cerah",isi ini ya ges (positive/neutral/negative)
Sandisk memang produk paling bagus,isi ini ya ges (positive/neutral/negative)
ok brg original,isi ini ya ges (positive/neutral/negative)
"Respon penjual cepat, kapasitas tersedia 58gb",isi ini ya ges (positive/neutral/negative)
top sesuai sma sampelnya ...👍👍,isi ini ya ges (positive/neutral/negative)
"barang sudah sampai,langsung d coba dan file langsung ke baca,mantap,beda sma yg ecek2 udh beli 3 kali ngaco semua banyak file yg ga kebaca malah ada yg hilang,pokonya top deh,makasih lazada,makasih toko sandisk",isi ini ya ges (positive/neutral/negative)
"Produk yang datang sesuai dengan yang digambar, pengemasan produk rapi, dan pengiriman nya pun cepat",isi ini ya ges (positive/neutral/negative)
"Paket Cepat sampai, kemasan produk juga baik & bagus.. alhamdulillah yg dtg benar 64gb🤤 Tengkyu lazada🤗",isi ini ya ges (positive/neutral/negative)
lumayan lah....semoga awet,isi ini ya ges (positive/neutral/negative)
"packing rapi pake dus aman, barang original ada hologramnya, puas banget mantap terimakasih lazada",isi ini ya ges (positive/neutral/negative)
"Barang sesuai deskripsi, 64G realita 58,4G it's ok mungkin terpotong sistem,  tp semua berfungsi bagus",isi ini ya ges (positive/neutral/negative)
"Barang diterima dengan baik, belum dicek. semoga awet...Terimakasih Lazada",isi ini ya ges (positive/neutral/negative)
Pengiriman tepat waktu dan pembungkusan rapi semoga awet. Terima kasih LAZADA,isi ini ya ges (positive/neutral/negative)
nice^-^,isi ini ya ges (positive/neutral/negative)
Ori Dan Mantul dah..Sukses !!,isi ini ya ges (positive/neutral/negative)
alhamdulillah barang bagus dan berfungsi dengan baik sesuai harganya murah..trimakasih,isi ini ya ges (positive/neutral/negative)
okok,isi ini ya ges (positive/neutral/negative)
barang bagus dan berfungsi,isi ini ya ges (positive/neutral/negative)
Real pict,isi ini ya ges (positive/neutral/negative)
"packing rapi, belum cek kapasitasnya yg pasti. terimakasih",isi ini ya ges (positive/neutral/negative)
"mantabbb produknya,ngga pernah nyesel pesen lg",isi ini ya ges (positive/neutral/negative)
barang nya bagus,isi ini ya ges (positive/neutral/negative)
mantap jiwa dah,isi ini ya ges (positive/neutral/negative)
"mantap, kpn2 mw order lg. thanks lazada",isi ini ya ges (positive/neutral/negative)
sampai walau lama,isi ini ya ges (positive/neutral/negative)
"barang original. bagus. pengiriman juga cepat, sabtu pesan, senin siang sampai",isi ini ya ges (positive/neutral/negative)
Puas beli disini,isi ini ya ges (positive/neutral/negative)
cool. berfungsi dengan baik. sehari langsung sampe,isi ini ya ges (positive/neutral/negative)
sampai di gunakan dengan baik,isi ini ya ges (positive/neutral/negative)
paket sudah diterima..barang nya bagus..mantab,isi ini ya ges (positive/neutral/negative)
Siip pengiriman cepat dan barang OK,isi ini ya ges (positive/neutral/negative)
pesanan saya terima dlm keadaan baik.,isi ini ya ges (positive/neutral/negative)
mantap barangnya,isi ini ya ges (positive/neutral/negative)
barang berfungsi dengan baik,isi ini ya ges (positive/neutral/negative)
"barang bagus pack rapih, original.",isi ini ya ges (positive/neutral/negative)
Packing rapi.. Brg cepat smpe.. Dan bagus...,isi ini ya ges (positive/neutral/negative)
"barangnya udah keterima, lumayan cepet pengirimannya. barang sesuai gambar dan semoga awet",isi ini ya ges (positive/neutral/negative)
"Berfungsi baik, terbaca 57 giga semoga awet tidak ada data yg crush",isi ini ya ges (positive/neutral/negative)
"sandisk nya oke, kapasitas besar",isi ini ya ges (positive/neutral/negative)
alhamdulillah pesanan sudah sampai.,isi ini ya ges (positive/neutral/negative)
"Produk berkualitas, packing rapih dan pengiriman cepat.",isi ini ya ges (positive/neutral/negative)
selalu puas sama produk sandisk..,isi ini ya ges (positive/neutral/negative)
barang bagus orijinal. langsung pake transfer file aman,isi ini ya ges (positive/neutral/negative)
barang bagus dan ori. packing ok. pengiriman sesuai jadual.,isi ini ya ges (positive/neutral/negative)
"sdh diterima, blm dicoba, tp sejauh ini percaya dgn produk sandisk",isi ini ya ges (positive/neutral/negative)
"puas barang ori, terima kasih SanDisk dan lazada",isi ini ya ges (positive/neutral/negative)
harga promosi memang mantap. kualitas produk tidak diragukan.,isi ini ya ges (positive/neutral/negative)
oke barang sesuai,isi ini ya ges (positive/neutral/negative)
Flashdisk ori,isi ini ya ges (positive/neutral/negative)
"barang sesuai, berfungsi dengan baik, pengiriman cepat dan packing rapi dan aman.",isi ini ya ges (positive/neutral/negative)
